ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202206,공천포식당,서귀포시,남원읍,남원읍,한식,가정식,1.95,1.93,0.49,1.76,0.58,1.97,0.93,253,다나20a75a
202206,제주머슴네,서귀포시,남원읍,남원읍,한식,가정식,0.09,0.21,0.15,1.58,0.14,1.43,0.29,1529,다나23b76b
202206,메가엠지씨커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,1.07,7.21,0.05,1.23,0.12,2.69,1.1,190,다나27a76b
202206,주식회사 제주에코빌리지,서귀포시,남원읍,남원읍,한식,가정식,0.77,1.62,0.15,1.18,0.19,1.4,1.08,198,다나25b76a
202206,카페 서연의집,서귀포시,남원읍,남원읍,음료,커피,0.09,0.24,0.13,1.13,0.13,1.04,0.49,761,다나21a75b
202206,파리바게뜨제주남원점,서귀포시,남원읍,남원읍,간식,베이커리,1.93,6.17,0.08,0.94,0.2,2.2,0.9,271,다나27a76b
202206,동선제면가,서귀포시,남원읍,남원읍,한식,가정식,0.37,0.57,0.18,0.91,0.19,0.93,0.19,2420,다나20b75b
202206,초이당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.74,1.31,0.1,0.89,0.15,1.07,0.36,1197,다나28a76b
202206,범일분식,서귀포시,남원읍,남원읍,간식,분식,0.4,0.76,0.1,0.7,0.12,0.78,0.29,1530,다나27a76b
202206,모노클제주,서귀포시,남원읍,남원읍,한식,커피,0.33,0.62,0.09,0.68,0.1,0.74,0.35,1210,다나24a76a
202206,카페지니,서귀포시,남원읍,남원읍,음료,커피,0.68,1.72,0.07,0.65,0.11,0.96,0.54,647,다나19b75a
202206,이디야커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.58,2.69,0.04,0.64,0.07,1.16,0.3,1466,다나27a76b
202206,세러데이아일랜드,서귀포시,남원읍,남원읍,양식,양식,0.06,0.18,0.05,0.53,0.05,0.5,0.23,2049,다나26b76b
202206,큰엉식당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.2,0.15,0.25,0.51,0.25,0.48,0.25,1852,다나25b76a
202206,투빅(Too Big),서귀포시,남원읍,남원읍,한식,단품요리 전문,0.42,3.63,0.02,0.5,0.05,1.25,-0.15,13750,다나27a76b
202206,수와래베이커리,서귀포시,남원읍,남원읍,간식,베이커리,0.53,1.18,0.04,0.48,0.08,0.68,0.04,7972,다나20b75b
202206,공새미59,서귀포시,남원읍,남원읍,한식,가정식,0.19,0.24,0.1,0.47,0.11,0.46,-0.09,13607,다나19b75a
202206,만월당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.57,0.44,0.15,0.43,0.18,0.48,0.1,4679,다나26a76b
202206,와랑와랑,서귀포시,남원읍,남원읍,음료,커피,0.07,0.18,0.04,0.43,0.05,0.41,0.09,4844,다나23a75b
202206,모카,서귀포시,남원읍,남원읍,한식,커피,0.09,0.29,0.04,0.43,0.05,0.44,0.08,5222,다나31a78a
202206,주식회사 미스터크랩태흥,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.53,0.37,0.34,0.39,0.35,0.43,0.38,1089,다나30a77b
202206,탐라밥상,서귀포시,남원읍,남원읍,한식,가정식,0.29,0.32,0.11,0.38,0.12,0.4,0.23,2050,다나24b76a
202206,아이스크림 할인점,서귀포시,남원읍,남원읍,간식,아이스크림/빙수,0.92,3.78,0.02,0.38,0.08,1.19,0.36,1168,다나22a76a
202206,흑돼지패밀리,서귀포시,남원읍,남원읍,한식,돼지고기,0.43,0.24,0.28,0.37,0.29,0.37,0.04,7870,다나20b77b
202206,일송회수산,서귀포시,남원읍,남원읍,아시아음식,회,0.11,0.13,0.09,0.37,0.1,0.35,-0.04,12904,다나22a75b
202206,뙤미,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.26,0.5,0.07,0.37,0.08,0.44,0.11,4118,다나21a76a
202206,남원흑돼지연탄골목,서귀포시,남원읍,남원읍,한식,고기,0.25,0.08,0.26,0.36,0.26,0.33,0.05,7052,다나25b76a
202206,주식회사 위미,서귀포시,남원읍,남원읍,한식,가정식,0.18,0.21,0.11,0.36,0.12,0.36,-0.06,13300,다나21b76a
202206,제주어향원,서귀포시,남원읍,남원읍,한식,가정식,0.15,0.15,0.19,0.35,0.19,0.35,0.02,8769,다나27b76b
202206,취향의섬,서귀포시,남원읍,남원읍,한식,커피,0.14,0.1,0.1,0.35,0.1,0.33,-0.1,13630,다나24b76a
202206,루브린,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.04,0.08,0.05,0.35,0.05,0.33,0.04,7871,다나24a75b
202206,남원콩나물국밥,서귀포시,남원읍,남원읍,한식,국밥,0.36,1.13,0.04,0.33,0.06,0.54,0.09,5113,다나27a77a
