ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202212,갱길이네고사리삼겹살,제주시,용담2동,제주시내,고기,돼지고기,0.38,0.09,0.03,0.06,0.09,0.09,0.07,5390,다다07b02a
202212,황금손가락,제주시,노형동,제주시내,일식.회,일식,2.86,3.59,0.17,0.57,0.58,1.99,0.88,304,다나05b95b
202212,카페봄봄 서귀포점,서귀포시,동홍동,서귀포시내,카페,커피,0.35,4.66,0.01,0.42,0.06,2.31,0.4,1061,다나13a73b
202212,이삭토스트 제주 노형점,제주시,노형동,제주시내,베이커리.디저트,샌드위치/토스트,0.62,2.8,0.05,0.99,0.14,2.01,-0.03,9695,다나05b99b
202212,불닭공장,제주시,용담1동,제주시내,피자.치킨.햄버거,치킨,2.3,3.18,0.03,0.12,0.37,1.43,0.09,4549,다다08a01b
202212,토대력중문점,서귀포시,중문동,서귀포시내,주점및주류판매,꼬치구이,0.63,0.67,0.08,0.21,0.16,0.46,0.42,977,나나99b73b
202212,괸당집인제점,제주시,일도2동,제주시내,한식,가정식,1.98,1.57,0.04,0.07,0.33,0.72,0.24,2007,다다11a01b
202212,노조미,제주시,연동,제주시내,한식,가정식,1.19,2.57,0.11,0.75,0.28,1.71,0.06,5604,다나06a99a
202212,유군초밥,제주시,이도2동,제주시내,일식.회,일식,2.01,2.1,0.26,0.88,0.53,1.62,0.26,1861,다다09b01a
202212,으뜸아이스크림할인점,제주시,외도동,제주시내,베이커리.디저트,아이스크림/빙수,0.56,2.62,0,0.1,0.09,1.18,0.43,926,다다00b00a
202212,자성화맛집코다리네낙원점,제주시,아라동,제주시내,한식,단품요리 전문,0.5,0.55,0.02,0.07,0.09,0.29,0.35,1256,다나10a97a
202212,싱싱회센타,제주시,일도1동,제주시내,일식.회,회,0.11,0.17,0.36,1.27,0.33,1.15,0.02,7415,다다09b02b
202212,한신포차제주연동점,제주시,연동,제주시내,주점및주류판매,포장마차,2.98,3.7,0.17,0.6,0.59,2.06,0.42,991,다나06a99b
202212,BHC치킨 일도점,제주시,일도2동,제주시내,피자.치킨.햄버거,치킨,0.69,1.34,0.02,0.13,0.12,0.67,0.13,3651,다다10b02b
202212,난타오천화북점,제주시,화북동,제주시내,피자.치킨.햄버거,피자,0.17,0.55,0,0,0.03,0.23,0.01,8173,다다14a03a
202212,다정이네김밥서귀포신시가지점,서귀포시,대천동,서귀포시내,분식,분식,0.9,3.85,0.55,5.43,0.62,6.22,0.13,3753,다나06b72a
202212,세라젬웰카페 제주노형점,제주시,노형동,제주시내,카페,커피,0.11,0.96,0.01,0.21,0.03,0.59,0.17,2806,다나05b99a
202212,봉플라봉뱅,제주시,연동,제주시내,양식,양식,0.85,0.32,0.11,0.09,0.23,0.21,-0.08,11110,다다06b00a
202212,솔오름쉼터,서귀포시,동홍동,서귀포시내,한식,단품요리 전문,0,0,0,0.01,0,0.01,0.06,5681,다나11b78a
202212,서귀포신용이식당,제주시,노형동,제주시내,한식,단품요리 전문,0.92,2.07,0.01,0.07,0.15,0.93,0.06,5962,다나04b99a
202212,서귀포시축산업협동조합흑한우명,서귀포시,영천동,서귀포시내,고기,소고기,7.85,4.25,0.44,0.39,1.56,2.11,0.17,2940,다나15a74a
202212,낙지네,서귀포시,정방동,서귀포시내,한식,낙지,0.43,0.79,0,0.03,0.07,0.35,0.14,3410,다나13a73a
202212,52번가커피하우스,제주시,이도2동,제주시내,카페,커피,0.38,1.14,0.02,0.19,0.08,0.64,-0.35,12261,다다09b00b
