ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202204,공천포식당,서귀포시,남원읍,남원읍,한식,가정식,2.45,1.72,0.4,2.91,0.5,3.09,0.03,10270,다나20a75a
202204,카페 서연의집,서귀포시,남원읍,남원읍,음료,커피,0.12,0.22,0.13,2.13,0.13,1.89,1.65,577,다나21a75b
202204,제주머슴네,서귀포시,남원읍,남원읍,한식,가정식,0.07,0.14,0.1,2.06,0.1,1.8,0.82,1482,다나23b76b
202204,초이당,서귀포시,남원읍,남원읍,한식,단품요리 전문,1.02,1.7,0.12,1.89,0.17,2.21,1.58,609,다나28a76b
202204,메가엠지씨커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,1.52,7.82,0.03,1.63,0.1,4.17,3.36,167,다나27a76b
202204,파리바게뜨제주남원점,서귀포시,남원읍,남원읍,간식,베이커리,3.59,6.95,0.07,1.39,0.23,3.66,3.11,204,다나27a76b
202204,동선제면가,서귀포시,남원읍,남원읍,한식,가정식,0.48,0.55,0.13,1.33,0.15,1.33,0.37,3604,다나20b75b
202204,카페지니,서귀포시,남원읍,남원읍,음료,커피,0.82,1.53,0.07,1.32,0.11,1.67,0.65,1963,다나19b75a
202204,이디야커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.66,1.97,0.04,1.21,0.07,1.74,1.44,690,다나27a76b
202204,모노클제주,서귀포시,남원읍,남원읍,한식,커피,1.05,1.45,0.08,1.16,0.13,1.51,0.28,4462,다나24a76a
202204,와랑와랑,서귀포시,남원읍,남원읍,음료,커피,0.08,0.14,0.07,1.13,0.07,1.01,0.67,1878,다나23a75b
202204,범일분식,서귀포시,남원읍,남원읍,간식,분식,0.61,0.83,0.08,0.93,0.11,1.09,1.33,783,다나27a76b
202204,주식회사 제주에코빌리지,서귀포시,남원읍,남원읍,한식,가정식,0.91,1.53,0.07,0.89,0.11,1.3,-1.3,14175,다나25b76a
202204,만월당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.33,0.25,0.16,0.86,0.17,0.82,0.15,6651,다나26a76b
202204,큰엉식당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.1,0.05,0.28,0.84,0.28,0.73,0.22,5421,다나25b76a
202204,위미항활어회센터,서귀포시,남원읍,남원읍,한식,회,0.47,0.25,0.2,0.78,0.22,0.75,0.32,4029,다나22a75b
202204,세러데이아일랜드,서귀포시,남원읍,남원읍,양식,양식,0.13,0.28,0.05,0.78,0.05,0.76,0.29,4342,다나26b76b
202204,주식회사 미스터크랩태흥,서귀포시,남원읍,남원읍,한식,단품요리 전문,2.52,0.64,0.26,0.76,0.37,0.87,0.48,2731,다나30a77b
202204,모카,서귀포시,남원읍,남원읍,한식,커피,0.14,0.22,0.04,0.73,0.05,0.7,0.7,1785,다나31a78a
202204,주식회사 일구공,서귀포시,남원읍,남원읍,패스트푸드,햄버거,0.95,0.61,0.13,0.71,0.17,0.82,0.58,2249,다나28a76b
202204,탐라밥상,서귀포시,남원읍,남원읍,한식,가정식,0.54,0.55,0.1,0.66,0.12,0.76,-0.06,13332,다나24b76a
202204,공새미59,서귀포시,남원읍,남원읍,한식,가정식,0.2,0.25,0.08,0.65,0.09,0.64,0.25,4879,다나19b75a
202204,원조남원포구식당,서귀포시,남원읍,남원읍,한식,가정식,0.21,0.08,0.16,0.64,0.17,0.58,0.28,4463,다나27a76b
202204,남원흑돼지연탄골목,서귀포시,남원읍,남원읍,한식,고기,0.07,0.03,0.23,0.63,0.23,0.54,0.09,8444,다나25b76a
202204,흑돼지패밀리,서귀포시,남원읍,남원읍,한식,돼지고기,0.11,0.03,0.28,0.62,0.28,0.54,-0.08,13505,다나20b77b
202204,그리울땐제주,서귀포시,남원읍,남원읍,한식,커피,0.19,0.33,0.03,0.61,0.04,0.63,0.47,2791,다나32a79a
202204,오뚜기과자점,서귀포시,남원읍,남원읍,간식,베이커리,0.31,0.67,0.02,0.61,0.03,0.75,0.57,2277,다나21b76a
202204,강원수산&남원동,서귀포시,남원읍,남원읍,아시아음식,회,0.16,0.11,0.15,0.56,0.16,0.52,0.52,2519,다나25b76a
202204,뙤미,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.39,0.58,0.05,0.56,0.07,0.68,0.34,3868,다나21a76a
202204,짜장마을,서귀포시,남원읍,남원읍,아시아음식,중식,1.96,2.39,0.05,0.55,0.13,1.32,1.3,809,다나27a76b
202204,오리프,서귀포시,남원읍,남원읍,한식,오리,0.19,0.36,0.04,0.55,0.04,0.6,0.42,3129,다나23a76a
