ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202203,카페 서연의집,서귀포시,남원읍,남원읍,음료,커피,0.2,0.35,0.16,3.44,0.16,3.54,-0.91,12789,다나21a75b
202203,메가엠지씨커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,1.55,7.14,0.04,3.28,0.11,7.53,-3.66,14071,다나27a76b
202203,초이당,서귀포시,남원읍,남원읍,한식,단품요리 전문,1.08,1.59,0.13,2.92,0.18,3.79,-0.61,11880,다나28a76b
202203,공천포식당,서귀포시,남원읍,남원읍,한식,가정식,0.99,0.57,0.31,2.86,0.35,3.12,-1.65,13576,다나20a75a
202203,제주머슴네,서귀포시,남원읍,남원읍,한식,가정식,0.21,0.35,0.09,2.48,0.1,2.62,-1.33,13348,다나23b76b
202203,파리바게뜨제주남원점,서귀포시,남원읍,남원읍,간식,베이커리,5.77,8.06,0.08,1.92,0.32,6.77,-2.93,13972,다나27a76b
202203,범일분식,서귀포시,남원읍,남원읍,간식,분식,1,1.06,0.11,1.83,0.15,2.42,-1.13,13163,다나27a76b
202203,이디야커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.96,2.65,0.04,1.61,0.08,3.18,-1.52,13491,다나27a76b
202203,동선제면가,서귀포시,남원읍,남원읍,한식,가정식,0.35,0.38,0.13,1.52,0.15,1.7,-0.25,8767,다나20b75b
202203,와랑와랑,서귀포시,남원읍,남원읍,음료,커피,0.23,0.38,0.06,1.5,0.07,1.68,-0.09,5025,다나23a75b
202203,카페지니,서귀포시,남원읍,남원읍,음료,커피,1.15,1.61,0.05,1.38,0.1,2.32,-0.64,11999,다나19b75a
202203,모카,서귀포시,남원읍,남원읍,한식,커피,0.19,0.2,0.06,1.32,0.07,1.4,-0.53,11435,다나31a78a
202203,모노클제주,서귀포시,남원읍,남원읍,한식,커피,0.65,0.86,0.08,1.31,0.11,1.79,0.14,278,다나24a76a
