ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202207,공천포식당,서귀포시,남원읍,남원읍,한식,가정식,1.55,2.54,0.41,1.65,0.49,1.87,0.1,4453,다나20a75a
202207,제주머슴네,서귀포시,남원읍,남원읍,한식,가정식,0.05,0.25,0.12,1.19,0.12,1.08,0.35,1043,다나23b76b
202207,메가엠지씨커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.8,8.93,0.04,1,0.09,2.41,0.28,1431,다나27a76b
202207,초이당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.33,1.28,0.1,0.91,0.11,1.01,0.06,5872,다나28a76b
202207,카페 서연의집,서귀포시,남원읍,남원읍,음료,커피,0.08,0.25,0.08,0.82,0.08,0.75,0.29,1301,다나21a75b
202207,주식회사 제주에코빌리지,서귀포시,남원읍,남원읍,한식,가정식,0.4,1.63,0.09,0.76,0.11,0.94,0.46,692,다나25b76a
202207,파리바게뜨제주남원점,서귀포시,남원읍,남원읍,간식,베이커리,1.27,5.86,0.05,0.74,0.14,1.65,0.55,514,다나27a76b
202207,범일분식,서귀포시,남원읍,남원읍,간식,분식,0.21,0.65,0.09,0.66,0.1,0.69,0.09,4454,다나27a76b
202207,동선제면가,서귀포시,남원읍,남원읍,한식,가정식,0.26,0.55,0.11,0.62,0.12,0.64,0.29,1302,다나20b75b
202207,이디야커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.37,2.16,0.03,0.58,0.06,0.87,0.29,1348,다나27a76b
202207,모노클제주,서귀포시,남원읍,남원읍,한식,커피,0.29,0.93,0.05,0.41,0.06,0.51,0.23,1795,다나24a76a
202207,카페지니,서귀포시,남원읍,남원읍,음료,커피,0.61,2.29,0.04,0.4,0.08,0.74,0.22,1908,다나19b75a
202207,주식회사 미스터크랩태흥,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.21,0.28,0.26,0.37,0.25,0.37,0.06,5960,다나30a77b
