ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202211,오늘은 식당,서귀포시,예래동,서귀포시내,한식,가정식,1.38,0.71,0.27,0.44,0.37,0.67,0,3371,나나94b72a
202211,송림반점,제주시,삼도2동,제주시내,중식,중식,0.43,0.68,0.11,0.63,0.14,0.81,-0.31,10365,다다08b02b
202211,막끌리나,제주시,연동,제주시내,한식,단품요리 전문,0.45,0.23,0,0,0.04,0.09,0.03,2337,다나06b99b
202211,호반식당,제주시,삼도2동,제주시내,한식,가정식,0.56,0.13,0,0.03,0.05,0.08,-0.01,3937,다다09a02b
202211,부비곶뼈해장국,제주시,이도2동,제주시내,한식,해장국,0.24,0.58,0.01,0.11,0.03,0.33,-0.12,8142,다다09a01a
202211,사토,제주시,연동,제주시내,한식,가정식,2.38,0.19,0.02,0.03,0.21,0.11,0.03,2298,다나05b99b
202211,먹자분식,제주시,건입동,제주시내,분식,분식,0.22,0.26,0,0,0.02,0.11,-0.08,6988,다다10a03a
202211,소리원,제주시,연동,제주시내,중식,중식,6.72,8.01,0.13,0.79,0.67,3.98,-0.08,7155,다나06a99a
202211,고집돌우럭,제주시,건입동,제주시내,일식.회,회,0.86,0.29,2.07,4.08,2.08,3.58,-0.09,7187,다다09b03a
202211,뽀글뽀글,제주시,건입동,제주시내,한식,가정식,3.68,4.59,0.13,0.93,0.43,2.68,-0.59,11493,다다10a03a
202211,불닭발땡초동대문엽기떡볶이서귀포점,서귀포시,정방동,서귀포시내,피자.치킨.햄버거,치킨,0.97,1.61,0.03,0.35,0.11,0.96,-0.09,7192,다나12b73a
202211,올레차이나타운,서귀포시,대륜동,서귀포시내,중식,중식,0.71,0.78,0.09,0.57,0.14,0.8,-0.13,8208,다나08a72a
202211,아트진,서귀포시,송산동,서귀포시내,한식,단품요리 전문,0.4,0.07,0,0,0.03,0.03,0,3372,다나12b72b
202211,본가 1호점,제주시,이도2동,제주시내,한식,가정식,1.73,0.87,0.01,0.03,0.15,0.39,-0.39,10774,다다09b00a
202211,까페 나모나모,제주시,도두동,제주시내,카페,커피,5.35,7.53,1.11,8.09,1.51,9.95,0.26,272,다다04b02a
202211,길식당,제주시,연동,제주시내,한식,가정식,0.66,0.19,0.11,0.27,0.16,0.31,-0.1,7556,다다06b00a
202211,돈나무흑돼지,제주시,연동,제주시내,한식,가정식,0.36,0.16,0.33,0.73,0.35,0.68,-0.68,11654,다나06a99b
202211,신성할망식당,제주시,연동,제주시내,한식,가정식,0.2,0.42,0.06,0.41,0.07,0.52,-0.52,11281,다다07a00a
202211,코다리냉면,제주시,일도1동,제주시내,한식,면류,0.11,0.13,0,0,0.01,0.05,-0.02,4681,다다10a02b
202211,한아름분식,서귀포시,서홍동,서귀포시내,분식,분식,0.39,0.87,0.01,0.11,0.04,0.45,-0.08,7069,다나12a74b
202211,커피구십구점구,제주시,노형동,제주시내,카페,커피,1.82,4.81,0.05,0.77,0.19,2.64,-0.93,11967,다나05b98a
202211,흑돈시범이네,제주시,노형동,제주시내,고기,돼지고기,4.1,2.36,0.16,0.65,0.49,1.52,-1.13,12115,다나04a99b
202211,생돈구이촌,제주시,노형동,제주시내,고기,돼지고기,0.78,0.26,0.02,0.06,0.08,0.16,-0.01,4242,다다05a00a
202211,불닭공장 도남점,제주시,이도2동,제주시내,피자.치킨.햄버거,치킨,1.12,1,0.01,0.03,0.1,0.44,-0.14,8438,다다09b00a
202211,부부떡집,제주시,용담1동,제주시내,베이커리.디저트,떡/한과,0.82,0.74,0.05,0.19,0.12,0.47,-0.07,6563,다다08b02b
202211,노연동국밥2호점,제주시,연동,제주시내,한식,국밥,0.21,0.42,0,0,0.02,0.17,-0.03,4979,다다06a00a
202211,마두천손칼국수,제주시,용담2동,제주시내,한식,면류,2.5,2.65,0.12,0.54,0.32,1.55,-1.55,12296,다다07a02b
202211,할망곰탕집,제주시,용담2동,제주시내,한식,국밥,0.34,0.48,0.01,0.14,0.04,0.32,-0.09,7252,다다07a02b
202211,외도몸국,제주시,외도동,제주시내,한식,단품요리 전문,0.75,1.42,0.01,0.09,0.07,0.67,-0.22,9605,다나00b99b
202211,떡파는 사람들,제주시,외도동,제주시내,베이커리.디저트,떡/한과,0.73,0.29,0,0,0.06,0.12,-0.12,7951,다나00b99b
202211,서부두,제주시,건입동,제주시내,한식,가정식,1.11,0.64,0.08,0.29,0.17,0.51,-0.17,8908,다다09b03a
202211,씨가,제주시,삼도1동,제주시내,한식,가정식,0.71,0.23,0,0,0.06,0.09,-0.06,6276,다다08b01a
202211,조마루뼈다귀 용담점,제주시,용담2동,제주시내,고기,감자탕,1.65,1.1,0.01,0.09,0.14,0.53,-0.53,11327,다다08a02b
202211,주식회사리치모어,제주시,용담2동,제주시내,양식,양식,4.01,9.12,3.15,30.02,3.38,29.17,-6.47,12646,다다06a02a
202211,메모루식당,서귀포시,대천동,서귀포시내,한식,가정식,0.54,0.39,0.07,0.25,0.11,0.37,-0.07,6652,다나04b72a
202211,제주인화찐방,서귀포시,중앙동,서귀포시내,한식,단품요리 전문,0.71,1.26,0,0.03,0.06,0.55,-0.24,9839,다나13a73b
202211,찬밀면,서귀포시,대륜동,서귀포시내,한식,면류,0.67,1.1,0.02,0.22,0.08,0.64,0.02,2549,다나08a74b
202211,참돼지깡통구이,제주시,연동,제주시내,고기,돼지고기,1.87,0.42,0.1,0.13,0.25,0.28,-0.09,7388,다나06a99a
202211,정실휴게소,제주시,오라동,제주시내,한식,단품요리 전문,0.06,0.16,0.01,0.14,0.02,0.19,-0.05,5874,다나08a97b
202211,오복뼈갈비,제주시,이도2동,제주시내,고기,갈비,0.3,0.1,0.01,0.01,0.03,0.05,0.01,3234,다다10b00b
202211,시영통닭용담점,제주시,용담2동,제주시내,피자.치킨.햄버거,치킨,1.9,2.1,0.02,0.09,0.17,0.95,-0.27,10004,다다08a02a
202211,쏘맥한잔,제주시,이도2동,제주시내,한식,단품요리 전문,0.49,0.55,0.01,0.03,0.04,0.25,-0.25,9861,다다10a00a
202211,본가장수촌,제주시,노형동,제주시내,한식,단품요리 전문,2.06,1.07,0.02,0.05,0.18,0.48,-0.15,8558,다나05a99a
202211,공육사,제주시,연동,제주시내,한식,단품요리 전문,0.28,0.39,0.08,0.88,0.1,0.91,0.95,29,다나05b98a
202211,볕이드는 곳 벧디2호,제주시,연동,제주시내,한식,단품요리 전문,0.08,0.23,0.04,0.74,0.05,0.72,0.43,117,다나05b98a
202211,롯데리아 제주아라점,제주시,아라동,제주시내,양식,양식,3.77,9.89,0.06,1.07,0.37,4.99,-4.99,12611,다나11a98b
202211,뱃사공,제주시,화북동,제주시내,한식,단품요리 전문,0.83,0.26,0.03,0.01,0.09,0.12,-0.06,6277,다다13a03b
202211,자연수산,서귀포시,대륜동,서귀포시내,일식.회,회,0.65,0.29,0.22,0.44,0.27,0.49,-0.14,8439,다나07b73b
