ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202205,공천포식당,서귀포시,남원읍,남원읍,한식,가정식,2.22,2.43,0.61,2.68,0.77,2.9,0.19,2700,다나20a75a
202205,제주머슴네,서귀포시,남원읍,남원읍,한식,가정식,0.12,0.26,0.15,1.99,0.15,1.72,0.08,5306,다나23b76b
202205,카페 서연의집,서귀포시,남원읍,남원읍,음료,커피,0.19,0.49,0.15,1.69,0.16,1.53,0.36,1266,다나21a75b
202205,주식회사 제주에코빌리지,서귀포시,남원읍,남원읍,한식,가정식,1.97,3.94,0.18,1.67,0.32,2.48,-1.18,14101,다나25b76a
202205,메가엠지씨커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,1.33,9.17,0.05,1.49,0.14,3.79,0.38,1182,다나27a76b
202205,동선제면가,서귀포시,남원읍,남원읍,한식,가정식,0.21,0.31,0.19,1.25,0.2,1.12,0.21,2381,다나20b75b
202205,초이당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.63,1.43,0.1,1.25,0.15,1.43,0.78,421,다나28a76b
202205,파리바게뜨제주남원점,서귀포시,남원읍,남원읍,간식,베이커리,2.43,7.44,0.09,1.24,0.27,3.1,0.56,694,다나27a76b
202205,범일분식,서귀포시,남원읍,남원읍,간식,분식,0.43,0.85,0.12,1.01,0.15,1.07,0.02,8300,다나27a76b
202205,이디야커피 제주남원점,서귀포시,남원읍,남원읍,음료,커피,0.46,2.33,0.05,0.98,0.08,1.46,0.28,1658,다나27a76b
202205,큰엉식당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.17,0.1,0.33,0.84,0.34,0.73,0,9702,다나25b76a
202205,모노클제주,서귀포시,남원읍,남원읍,한식,커피,0.6,1.48,0.1,0.82,0.14,1.09,0.42,1039,다나24a76a
202205,카페지니,서귀포시,남원읍,남원읍,음료,커피,1.11,2.93,0.05,0.82,0.14,1.5,0.17,3046,다나19b75a
202205,주식회사 미스터크랩태흥,서귀포시,남원읍,남원읍,한식,단품요리 전문,1.42,0.62,0.46,0.76,0.56,0.81,0.06,6610,다나30a77b
202205,세러데이아일랜드,서귀포시,남원읍,남원읍,양식,양식,0.14,0.39,0.06,0.75,0.07,0.73,0.03,7695,다나26b76b
202205,위미항활어회센터,서귀포시,남원읍,남원읍,한식,회,0.5,0.39,0.21,0.68,0.24,0.67,0.08,5632,다나22a75b
202205,탐라밥상,서귀포시,남원읍,남원읍,한식,가정식,0.27,0.26,0.12,0.67,0.14,0.63,0.13,3757,다나24b76a
202205,만월당,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.16,0.15,0.19,0.64,0.2,0.58,0.24,1993,다나26a76b
202205,그리울땐제주,서귀포시,남원읍,남원읍,한식,커피,0.07,0.21,0.04,0.6,0.05,0.55,0.08,5633,다나32a79a
202205,모카,서귀포시,남원읍,남원읍,한식,커피,0.04,0.13,0.05,0.58,0.05,0.52,0.18,2855,다나31a78a
202205,이루후제,서귀포시,남원읍,남원읍,한식,가정식,0.86,0.96,0.1,0.57,0.16,0.74,0.09,5198,다나18b74b
202205,아이스크림 할인점,서귀포시,남원읍,남원읍,간식,아이스크림/빙수,0.87,3.89,0.02,0.56,0.08,1.55,-0.28,13983,다나27a76b
202205,와랑와랑,서귀포시,남원읍,남원읍,음료,커피,0.07,0.21,0.04,0.54,0.04,0.5,0.51,791,다나23a75b
202205,수와래베이커리,서귀포시,남원읍,남원읍,간식,베이커리,0.41,1.06,0.04,0.51,0.07,0.72,0.12,4058,다나20b75b
202205,강원수산&남원동,서귀포시,남원읍,남원읍,아시아음식,회,0.32,0.1,0.17,0.5,0.19,0.45,0.07,5755,다나25b76a
202205,바당길서귀포점,서귀포시,남원읍,남원읍,한식,가정식,0.09,0.13,0.09,0.5,0.09,0.45,-0.04,12549,다나19b74b
202205,숑,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.06,0.23,0.03,0.48,0.03,0.46,0.08,5331,다나20a75a
202205,뙤미,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.28,0.59,0.06,0.47,0.08,0.55,0.13,3758,다나21a76a
202205,매화원,서귀포시,남원읍,남원읍,한식,단품요리 전문,0,0,0.03,0.46,0.03,0.38,-0.05,12622,다나19a79b
202205,낭 커피,서귀포시,남원읍,남원읍,한식,커피,0.56,1.24,0.04,0.45,0.08,0.72,0.19,2607,다나17a78a
202205,흑돼지패밀리,서귀포시,남원읍,남원읍,한식,돼지고기,0.5,0.18,0.34,0.43,0.37,0.41,0.13,3741,다나20b77b
202205,남원흑돼지연탄골목,서귀포시,남원읍,남원읍,한식,고기,0.3,0.1,0.27,0.43,0.28,0.38,0.16,3078,다나25b76a
202205,남원콩나물국밥,서귀포시,남원읍,남원읍,한식,국밥,0.39,0.98,0.05,0.43,0.08,0.63,0.08,5634,다나27a77a
202205,투빅(Too Big),서귀포시,남원읍,남원읍,한식,단품요리 전문,0.41,2.67,0.01,0.43,0.04,1.1,0.01,8978,다나27a76b
202205,제주어향원,서귀포시,남원읍,남원읍,한식,가정식,0.16,0.1,0.12,0.42,0.13,0.37,0.1,4774,다나27b76b
202205,은빌레 식당,서귀포시,남원읍,남원읍,한식,가정식,1,2.64,0.1,0.39,0.17,1.06,0.39,1144,다나27a80a
202205,공새미59,서귀포시,남원읍,남원읍,한식,가정식,0.11,0.18,0.09,0.39,0.1,0.37,0.27,1729,다나19b75a
202205,남원수제돈까스,서귀포시,남원읍,남원읍,한식,돈까스,0.72,1.24,0.05,0.39,0.11,0.67,0.08,5635,다나27a76b
202205,원조남원포구식당,서귀포시,남원읍,남원읍,한식,가정식,0.41,0.28,0.14,0.38,0.16,0.4,0.18,2856,다나27a76b
202205,머체왓식당,서귀포시,남원읍,남원읍,한식,가정식,0.33,0.31,0.08,0.37,0.1,0.4,0.03,8239,다나23a82a
202205,오뚜기과자점,서귀포시,남원읍,남원읍,간식,베이커리,0.18,0.49,0.02,0.37,0.03,0.45,0.3,1549,다나21b76a
202205,섬소나이,서귀포시,남원읍,남원읍,한식,단품요리 전문,0.39,0.44,0.07,0.36,0.09,0.42,0.14,3504,다나21b76a
202205,밥통,서귀포시,남원읍,남원읍,한식,가정식,0.47,0.49,0.07,0.36,0.1,0.43,0.13,3742,다나29a77a
202205,옥이네 빵집,서귀포시,남원읍,남원읍,간식,베이커리,0.19,0.91,0.01,0.35,0.03,0.54,0.1,4775,다나27a76b
